sennenhunde.n.01	placental.n.01
pony.n.02	pony.n.02
chimpanzee.n.01	placental.n.01
tatouay.n.01	placental.n.01
white-footed_mouse.n.01	rodent.n.01
false_vampire.n.01	mammal.n.01
gnu.n.01	gnu.n.01
tiglon.n.01	feline.n.01
golden_hamster.n.01	rodent.n.01
appaloosa.n.01	placental.n.01
guereza.n.01	guereza.n.01
pricket.n.02	pricket.n.02
neandertal_man.n.01	mammal.n.01
babirusa.n.01	mammal.n.01
angora.n.03	rabbit.n.01
cave_myotis.n.01	bat.n.01
english_setter.n.01	hunting_dog.n.01
ass.n.03	ass.n.03
basset.n.01	dog.n.01
marten.n.01	carnivore.n.01
big_cat.n.01	carnivore.n.01
rorqual.n.01	cetacean.n.01
carnivore.n.01	carnivore.n.01
golden_mole.n.01	mammal.n.01
common_dolphin.n.01	whale.n.02
sivapithecus.n.01	mammal.n.01
friesian.n.01	bovine.n.01
water_buffalo.n.01	ruminant.n.01
black_rat.n.01	placental.n.01
short-tailed_shrew.n.01	mammal.n.01
serval.n.01	carnivore.n.01
war_admiral.n.01	placental.n.01
dachshund.n.01	dog.n.01
pomeranian.n.01	spitz.n.01
gaur.n.01	ungulate.n.01
cynopterus_sphinx.n.01	cynopterus_sphinx.n.01
cotton_mouse.n.01	mouse.n.01
steller_sea_lion.n.01	placental.n.01
brocket.n.02	brocket.n.02
shrew.n.02	shrew.n.02
tapir.n.01	ungulate.n.01
bucking_bronco.n.01	ungulate.n.01
rock_wallaby.n.01	marsupial.n.01
new_world_tapir.n.01	placental.n.01
carthorse.n.01	equine.n.01
watchdog.n.02	watchdog.n.02
tamarau.n.01	placental.n.01
buckskin.n.01	placental.n.01
brahman.n.04	bovine.n.01
bonnet_macaque.n.01	placental.n.01
anthropoid.n.02	anthropoid.n.02
entlebucher.n.01	sennenhunde.n.01
earless_seal.n.01	pinniped_mammal.n.01
newfoundland.n.01	canine.n.02
angora.n.02	mammal.n.01
durham.n.02	beef.n.01
white-footed_mouse.n.01	wood_mouse.n.01
assault.n.03	assault.n.03
aardvark.n.01	aardvark.n.01
fanaloka.n.01	fanaloka.n.01
giant_schnauzer.n.01	giant_schnauzer.n.01
carthorse.n.01	horse.n.01
common_wallaby.n.01	mammal.n.01
mantled_ground_squirrel.n.01	ground_squirrel.n.02
nanny.n.02	nanny.n.02
bullterrier.n.01	hunting_dog.n.01
homo.n.02	homo.n.02
greater_pichiciego.n.01	greater_pichiciego.n.01
gorilla.n.01	great_ape.n.01
jackrabbit.n.01	placental.n.01
roe_deer.n.01	even-toed_ungulate.n.01
imperial_mammoth.n.01	elephant.n.01
rabbit-eared_bandicoot.n.01	metatherian.n.01
chickeree.n.01	rodent.n.01
flickertail.n.01	flickertail.n.01
reynard.n.01	mammal.n.01
clydesdale_terrier.n.01	carnivore.n.01
bear_cub.n.01	bear.n.01
stoat.n.01	musteline_mammal.n.01
gnu.n.01	bovid.n.01
rhodesian_man.n.01	mammal.n.01
cotswold.n.01	ungulate.n.01
ram.n.05	sheep.n.01
lapdog.n.01	canine.n.02
santa_gertrudis.n.01	ruminant.n.01
mountain_sheep.n.01	even-toed_ungulate.n.01
eastern_chimpanzee.n.01	chimpanzee.n.01
pouched_mouse.n.01	pouched_mouse.n.01
pacific_bottlenose_dolphin.n.01	placental.n.01
wild_sheep.n.01	wild_sheep.n.01
domestic_cat.n.01	carnivore.n.01
attack_dog.n.01	placental.n.01
ungulata.n.01	placental.n.01
deer.n.01	ungulate.n.01
standard_poodle.n.01	mammal.n.01
domestic_sheep.n.01	bovid.n.01
black_rat.n.01	rat.n.01
welsh.n.03	ruminant.n.01
solo_man.n.01	placental.n.01
great_dane.n.01	mammal.n.01
pithecanthropus.n.01	placental.n.01
lhasa.n.02	carnivore.n.01
italian_greyhound.n.01	carnivore.n.01
domestic_sheep.n.01	placental.n.01
bull.n.11	mammal.n.01
exmoor.n.02	ungulate.n.01
jersey.n.05	ungulate.n.01
kiang.n.01	mammal.n.01
polo_pony.n.01	mammal.n.01
yearling.n.02	horse.n.01
hare.n.01	leporid.n.01
central_chimpanzee.n.01	primate.n.02
doberman.n.01	working_dog.n.01
trotting_horse.n.01	odd-toed_ungulate.n.01
wirehair.n.01	placental.n.01
lionet.n.01	placental.n.01
zebu.n.01	bovid.n.01
glutton.n.02	mammal.n.01
stud.n.04	equine.n.01
muskrat.n.02	muskrat.n.02
thomson's_gazelle.n.01	ruminant.n.01
irish_water_spaniel.n.01	hunting_dog.n.01
sealyham_terrier.n.01	wirehair.n.01
musk_kangaroo.n.01	kangaroo.n.01
monkey.n.01	primate.n.02
three-year-old_horse.n.01	three-year-old_horse.n.01
water_chevrotain.n.01	water_chevrotain.n.01
baronduki.n.01	placental.n.01
guinea_pig.n.02	rodent.n.01
english_springer.n.01	english_springer.n.01
viscacha.n.01	viscacha.n.01
ass.n.03	ungulate.n.01
harnessed_antelope.n.01	ruminant.n.01
chesapeake_bay_retriever.n.01	chesapeake_bay_retriever.n.01
bovine.n.01	bovine.n.01
numbat.n.01	dasyurid_marsupial.n.01
large_poodle.n.01	carnivore.n.01
roan.n.02	equine.n.01
vole.n.01	wood_rat.n.01
great_ape.n.01	mammal.n.01
entellus.n.01	old_world_monkey.n.01
primate.n.02	mammal.n.01
squirrel_monkey.n.01	new_world_monkey.n.01
two-year-old_horse.n.01	mammal.n.01
wild_goat.n.01	goat.n.01
anoa.n.01	bovid.n.01
hunting_dog.n.01	mammal.n.01
native_cat.n.01	mammal.n.01
feline.n.01	mammal.n.01
bandicoot.n.01	mammal.n.01
mare.n.01	mammal.n.01
homo_sapiens.n.01	primate.n.02
river_dolphin.n.01	toothed_whale.n.01
wharf_rat.n.02	rodent.n.01
cardigan.n.02	dog.n.01
saki.n.03	primate.n.02
zoril.n.01	mammal.n.01
springer.n.02	ungulate.n.01
dark_horse.n.02	equine.n.01
shepherd_dog.n.01	canine.n.02
bull.n.11	placental.n.01
world.n.08	mammal.n.01
giant_schnauzer.n.01	schnauzer.n.01
irish_terrier.n.01	mammal.n.01
black-footed_ferret.n.01	musteline_mammal.n.01
keeshond.n.01	canine.n.02
aardwolf.n.01	carnivore.n.01
pembroke.n.01	dog.n.01
foxhound.n.01	canine.n.02
red_fox.n.03	carnivore.n.01
hooded_skunk.n.01	mammal.n.01
harbor_porpoise.n.01	harbor_porpoise.n.01
woolly_indris.n.01	placental.n.01
pouched_mouse.n.01	metatherian.n.01
miniature_poodle.n.01	placental.n.01
pocket_rat.n.01	rodent.n.01
japanese_deer.n.01	deer.n.01
gibbon.n.02	lesser_ape.n.01
slender_loris.n.01	primate.n.02
cow.n.02	placental.n.01
irish_wolfhound.n.01	hound.n.01
merino.n.01	bovid.n.01
bullock.n.01	ruminant.n.01
desmodus_rotundus.n.01	mammal.n.01
black-and-tan_coonhound.n.01	hunting_dog.n.01
american_staffordshire_terrier.n.01	bullterrier.n.01
cavy.n.01	cavy.n.01
fur_seal.n.02	fur_seal.n.02
jird.n.01	jird.n.01
clydesdale_terrier.n.01	dog.n.01
protohippus.n.01	mammal.n.01
greater_swiss_mountain_dog.n.01	working_dog.n.01
capuchin.n.02	capuchin.n.02
chigetai.n.01	ass.n.03
southern_flying_squirrel.n.01	placental.n.01
mangabey.n.01	old_world_monkey.n.01
carthorse.n.01	ungulate.n.01
lesser_rorqual.n.01	cetacean.n.01
newfoundland.n.01	carnivore.n.01
gaur.n.01	mammal.n.01
pacific_bottlenose_dolphin.n.01	aquatic_mammal.n.01
sled_dog.n.01	carnivore.n.01
spouter.n.03	cetacean.n.01
tennessee_walker.n.01	equine.n.01
pangolin.n.01	placental.n.01
old_world_porcupine.n.01	placental.n.01
sewer_rat.n.01	brown_rat.n.01
swamp_rabbit.n.02	wood_rabbit.n.01
cheviot.n.01	ungulate.n.01
english_toy_spaniel.n.01	carnivore.n.01
collared_peccary.n.01	even-toed_ungulate.n.01
mountain_goat.n.01	goat_antelope.n.01
golden_retriever.n.01	golden_retriever.n.01
rabbit.n.01	rabbit.n.01
yorkshire_terrier.n.01	mammal.n.01
gomphothere.n.01	pachyderm.n.01
fisher.n.02	mammal.n.01
wharf_rat.n.02	rat.n.01
tenrec.n.01	tenrec.n.01
jumping_mouse.n.01	jumping_mouse.n.01
cinnamon_bear.n.01	american_black_bear.n.01
liver_chestnut.n.01	odd-toed_ungulate.n.01
howler_monkey.n.01	placental.n.01
panther.n.02	feline.n.01
sow.n.01	ungulate.n.01
bird_dog.n.01	sporting_dog.n.01
pooch.n.01	canine.n.02
manchester_terrier.n.01	dog.n.01
king_charles_spaniel.n.01	king_charles_spaniel.n.01
mouser.n.01	carnivore.n.01
mountain_goat.n.01	bovid.n.01
american_shrew_mole.n.01	mammal.n.01
count_fleet.n.01	thoroughbred.n.02
white-tailed_jackrabbit.n.01	white-tailed_jackrabbit.n.01
kuvasz.n.01	working_dog.n.01
peba.n.01	armadillo.n.01
blue_fox.n.01	placental.n.01
asiatic_shrew_mole.n.01	insectivore.n.01
hudson_bay_collared_lemming.n.01	placental.n.01
bunny.n.02	leporid.n.01
tennessee_walker.n.01	horse.n.01
rat_terrier.n.01	hunting_dog.n.01
langur.n.01	placental.n.01
european_wood_mouse.n.01	mouse.n.01
nude_mouse.n.01	nude_mouse.n.01
mole.n.06	mole.n.06
affirmed.n.01	affirmed.n.01
numbat.n.01	marsupial.n.01
mule.n.01	mule.n.01
whale.n.02	aquatic_mammal.n.01
tennessee_walker.n.01	saddle_horse.n.01
wharf_rat.n.02	brown_rat.n.01
barren_ground_caribou.n.01	barren_ground_caribou.n.01
galago.n.01	galago.n.01
stud.n.04	stud.n.04
atlantic_walrus.n.01	atlantic_walrus.n.01
american_black_bear.n.01	placental.n.01
collie.n.01	collie.n.01
paca.n.01	mammal.n.01
wolfhound.n.01	carnivore.n.01
mountain_nyala.n.01	mammal.n.01
bezoar_goat.n.01	goat.n.01
american_shrew_mole.n.01	mole.n.06
muntjac.n.01	mammal.n.01
two-year-old_horse.n.01	racehorse.n.01
goat_antelope.n.01	ruminant.n.01
packrat.n.02	packrat.n.02
skye_terrier.n.01	terrier.n.01
douroucouli.n.01	monkey.n.01
prairie_dog.n.01	placental.n.01
lucy.n.01	hominid.n.01
hack.n.07	horse.n.01
deer.n.01	mammal.n.01
friesian.n.01	even-toed_ungulate.n.01
seeing_eye_dog.n.01	carnivore.n.01
santa_gertrudis.n.01	beef.n.01
javanthropus.n.01	javanthropus.n.01
ruminant.n.01	ruminant.n.01
crabeater_seal.n.01	pinniped_mammal.n.01
grivet.n.01	mammal.n.01
potoroo.n.01	kangaroo.n.01
rhodesian_ridgeback.n.01	canine.n.02
manatee.n.01	aquatic_mammal.n.01
pinniped_mammal.n.01	placental.n.01
kuvasz.n.01	dog.n.01
yak.n.02	ungulate.n.01
farm_horse.n.01	odd-toed_ungulate.n.01
thoroughbred.n.02	placental.n.01
english_springer.n.01	placental.n.01
talapoin.n.01	talapoin.n.01
quagga.n.01	equine.n.01
bouvier_des_flandres.n.01	placental.n.01
poodle.n.01	mammal.n.01
stepper.n.03	odd-toed_ungulate.n.01
welsh.n.03	cattle.n.01
rottweiler.n.01	shepherd_dog.n.01
tarsius_syrichta.n.01	primate.n.02
bluetick.n.01	carnivore.n.01
affenpinscher.n.01	placental.n.01
tailless_tenrec.n.01	placental.n.01
pooch.n.01	dog.n.01
manchester_terrier.n.01	canine.n.02
malinois.n.01	mammal.n.01
omaha.n.04	omaha.n.04
gib.n.02	mammal.n.01
eastern_dasyure.n.01	dasyure.n.01
lemur.n.01	primate.n.02
muishond.n.01	placental.n.01
sheep.n.01	ruminant.n.01
elk.n.01	placental.n.01
seattle_slew.n.01	odd-toed_ungulate.n.01
boarhound.n.01	mammal.n.01
woolly_rhinoceros.n.01	placental.n.01
rambouillet.n.01	domestic_sheep.n.01
bowhead.n.01	bowhead.n.01
grasshopper_mouse.n.01	placental.n.01
leafnose_bat.n.01	carnivorous_bat.n.01
american_foxhound.n.01	dog.n.01
homo.n.02	mammal.n.01
dall_sheep.n.01	bovid.n.01
mountain_goat.n.01	even-toed_ungulate.n.01
tamarisk_gerbil.n.01	gerbil.n.01
charolais.n.01	ungulate.n.01
prairie_vole.n.01	rodent.n.01
finback.n.01	finback.n.01
polar_hare.n.01	polar_hare.n.01
douroucouli.n.01	placental.n.01
ground_squirrel.n.02	rodent.n.01
hairy-legged_vampire_bat.n.01	mammal.n.01
greater_pichiciego.n.01	mammal.n.01
white-lipped_peccary.n.01	peccary.n.01
dwarf_sperm_whale.n.01	whale.n.02
stablemate.n.01	horse.n.01
mule_deer.n.01	deer.n.01
sausage_dog.n.01	sausage_dog.n.01
female_mammal.n.01	female_mammal.n.01
digitigrade_mammal.n.01	mammal.n.01
wild_sheep.n.01	ungulate.n.01
woolly_monkey.n.01	placental.n.01
peccary.n.01	ungulate.n.01
siamang.n.01	ape.n.01
wild_ass.n.01	ass.n.03
antelope.n.01	mammal.n.01
kanchil.n.01	chevrotain.n.01
giant_eland.n.01	even-toed_ungulate.n.01
timber_wolf.n.01	carnivore.n.01
european_hare.n.01	leporid.n.01
guernsey.n.02	bovid.n.01
warrigal.n.01	equine.n.01
seal.n.09	seal.n.09
european_rabbit.n.01	lagomorph.n.01
tom.n.02	cat.n.01
pug.n.01	dog.n.01
white_wolf.n.01	canine.n.02
grade.n.09	mammal.n.01
grey.n.07	ungulate.n.01
new_world_mouse.n.01	placental.n.01
crabeater_seal.n.01	crabeater_seal.n.01
beaked_whale.n.01	beaked_whale.n.01
seattle_slew.n.01	mammal.n.01
zebra.n.01	mammal.n.01
leonberg.n.01	canine.n.02
harnessed_antelope.n.01	harnessed_antelope.n.01
broadtail.n.02	ruminant.n.01
rock_squirrel.n.01	squirrel.n.01
wolfhound.n.01	hunting_dog.n.01
pinche.n.01	new_world_monkey.n.01
big_brown_bat.n.01	bat.n.01
american_foxhound.n.01	placental.n.01
miniature_poodle.n.01	poodle.n.01
carnivorous_bat.n.01	carnivorous_bat.n.01
mexican_hairless.n.01	canine.n.02
american_marten.n.01	musteline_mammal.n.01
asian_wild_ox.n.01	placental.n.01
steller's_sea_cow.n.01	aquatic_mammal.n.01
percheron.n.01	placental.n.01
old_world_buffalo.n.01	ungulate.n.01
ord_kangaroo_rat.n.01	kangaroo_rat.n.01
cotton_mouse.n.01	mammal.n.01
lynx.n.02	wildcat.n.03
alley_cat.n.01	feline.n.01
serow.n.01	even-toed_ungulate.n.01
curly-coated_retriever.n.01	mammal.n.01
grison.n.01	grison.n.01
flying_mouse.n.01	flying_phalanger.n.01
tamarau.n.01	tamarau.n.01
